,crime,number,date,location,beat,neighborhood,npu,lat,long
600,AUTO THEFT,102991562,10/26/2010,61 FAIRBURN RD SW,407,Adamsville,H,33.75613,-84.50579
601,LARCENY-NON VEHICLE,102991563,10/26/2010,185 CENTRAL  AVE SW,512,Downtown,M,33.7499,-84.39058
602,AUTO THEFT,102991619,10/26/2010,243 MCDONOUGH BLVD. SW,305,South Atlanta,Y,33.71733,-84.38077
603,LARCENY-NON VEHICLE,102991627,10/26/2010,1856 PIEDMONT AVE NE,212,Piedmont Heights,F,33.80678,-84.36669
604,LARCENY-FROM VEHICLE,102991629,10/26/2010,1820 MARY DELL DR SE ; SOUTH METRO SCHOOL,612,East Atlanta,W,33.72385,-84.32906
605,BURGLARY-RESIDENCE,102991688,10/26/2010,2235 1ST AVE NE,610,Kirkwood,O,33.75494,-84.31439
606,LARCENY-FROM VEHICLE,102991702,10/26/2010,1661 MERTON RD NE,213,Morningside/Lenox Park,F,33.79992,-84.35525
607,AGG ASSAULT,102991731,10/26/2010,1659 NEKOMA ST NW,107,Grove Park,J,33.76703,-84.44214
608,LARCENY-FROM VEHICLE,102991741,10/26/2010,1820 MARY DELL DR SE,612,East Atlanta,W,33.72385,-84.32906
609,LARCENY-NON VEHICLE,102991771,10/26/2010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
610,BURGLARY-RESIDENCE,102991775,10/26/2010,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631
611,BURGLARY-RESIDENCE,102991780,10/26/2010,2557 PRESTON VIEW CT SW,310,Browns Mill Park,Z,33.6869,-84.39238
612,BURGLARY-RESIDENCE,102991803,10/26/2010,78 ADAIR AVE SE,307,Lakewood Heights,Y,33.70644,-84.38572
613,AUTO THEFT,102991804,10/26/2010,3099 PANTHER TRL SW @THERRELL HIGH,409,Southwest,R,33.69931,-84.48914
614,LARCENY-FROM VEHICLE,102991816,10/26/2010,21 ELLIS ST NE,510,Downtown,M,33.75833,-84.38681
615,BURGLARY-RESIDENCE,102991840,10/26/2010,1690 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72665,-84.44342
616,LARCENY-FROM VEHICLE,102991863,10/26/2010,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824,-84.36521
617,BURGLARY-RESIDENCE,102991873,10/26/2010,537 OLIVER ST NW,103,English Avenue,L,33.76944,-84.41523
618,BURGLARY-RESIDENCE,102991883,10/26/2010,875 HANK AARON DR SW,304,Peoplestown,V,33.73065,-84.38805
619,BURGLARY-RESIDENCE,102991884,10/26/2010,272 HOWELL TER SW,407,Adamsville,H,33.75086,-84.50432
620,BURGLARY-RESIDENCE,102991897,10/26/2010,509 LINDBERGH PL NE,211,Lindbergh/Morosgo,B,33.81913,-84.37202
621,LARCENY-NON VEHICLE,102991910,10/26/2010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
622,LARCENY-NON VEHICLE,102991936,10/26/2010,1001 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.7734,-84.35467
623,LARCENY-NON VEHICLE,102991955,10/26/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
624,LARCENY-FROM VEHICLE,102991970,10/26/2010,SPRING ST SW / TRINITY AVE SW,507,Castleberry Hill,M,33.7506,-84.39706
625,LARCENY-NON VEHICLE,102991986,10/26/2010,1133 EUCLID AVE NE,602,Inman Park,N,33.76451,-84.35
626,LARCENY-NON VEHICLE,102991993,10/26/2010,3500 PEACHTREE ROAD,208,North Buckhead,B,33.85302,-84.36278
627,AGG ASSAULT,102992041,10/26/2010,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68149,-84.37152
628,LARCENY-FROM VEHICLE,102992047,10/26/2010,180 JACKSON,604,Sweet Auburn,M,33.75769,-84.37433
629,LARCENY-FROM VEHICLE,102992080,10/26/2010,12TH ST NE / PIEDMONT AVE NE,502,Midtown,E,33.78331,-84.37958
630,AUTO THEFT,102992095,10/26/2010,1696 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70781,-84.37988
631,LARCENY-FROM VEHICLE,102992126,10/26/2010, 935 MARIETTA STREET SW,504,Marietta Street Artery,E,33.77795,-84.40849
632,LARCENY-NON VEHICLE,102992128,10/26/2010,1440 JONESBORO RD SE,305,South Atlanta,Y,33.71537,-84.38312
633,LARCENY-NON VEHICLE,102992129,10/26/2010,411 CLEVELAND AVE SW,309,Perkerson,X,33.68145,-84.40305
634,AUTO THEFT,102992150,10/26/2010,2838 BROWNTOWN RD NW,113,Bolton Hills,G,33.80275,-84.48165
635,LARCENY-NON VEHICLE,102992215,10/26/2010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
636,AGG ASSAULT,102992222,10/26/2010,1519 PRYOR RD SW,307,Joyland,Y,33.71403,-84.3939
637,BURGLARY-RESIDENCE,102992232,10/26/2010,1975 ALISON CT SW,410,Campbellton Road,R,33.70081,-84.45327
638,LARCENY-FROM VEHICLE,102992304,10/26/2010,3280 PEACHTREE ROAD,208,North Buckhead,B,33.84443,-84.3711
639,ROBBERY-PEDESTRIAN,102992310,10/26/2010,162 CHAPPELL RD NW,105,Hunter Hills,K,33.75918,-84.43368
640,AUTO THEFT,102992315,10/26/2010,198 MITCHELL ST SW,512,Downtown,M,33.75166,-84.39433
641,LARCENY-NON VEHICLE,102992374,10/26/2010,AUBURN AVE NE / PIEDMONT AVE NE,510,Downtown,M,33.75555,-84.38225
642,LARCENY-FROM VEHICLE,102992376,10/26/2010,JESSE HILL JR DR/IRWIN ST,511,Downtown,M,33.74876,-84.38606
643,AUTO THEFT,102992380,10/26/2010,472 DECKNER AVE SW,301,Capitol View Manor,X,33.71456,-84.40318
644,LARCENY-FROM VEHICLE,102992407,10/26/2010,LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
645,LARCENY-FROM VEHICLE,102992434,10/26/2010,1270 W PEACHTREE ST NW,502,Midtown,E,33.78937,-84.3882
646,LARCENY-NON VEHICLE,102992445,10/26/2010,2900 CAMPBELLTON RD SW,409,Southwest,R,33.69761,-84.48336
647,LARCENY-FROM VEHICLE,102992450,10/26/2010,JOSEPH E LOWERY BLVD NW / JOSEPH E BOONE BLVD NW,105,Washington Park,K,33.76347,-84.41747
648,AUTO THEFT,102992467,10/26/2010,132 10TH ST NE,503,Midtown,E,33.78222,-84.3829
649,BURGLARY-RESIDENCE,102992474,10/26/2010,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671
650,LARCENY-NON VEHICLE,102992478,10/26/2010,565 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74651,-84.40675
651,LARCENY-FROM VEHICLE,102992503,10/26/2010,100 LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
652,LARCENY-FROM VEHICLE,102992541,10/26/2010,652 QUEEN ST SW,402,West End,T,33.73731,-84.42514
653,AGG ASSAULT,102992602,10/26/2010,PIEDMONT AVE NE / 12TH ST NE,502,Midtown,E,33.78331,-84.37958
654,LARCENY-FROM VEHICLE,102998019,10/26/2010,N ECON @6011 N TERMINAL BYWY ;ROW 19A,50,,,33.64216,-84.44756
655,LARCENY-NON VEHICLE,102981760,10/26/2010,3755 CARMIA DRIVE,414,Princeton Lakes,P,33.65629,-84.51134
656,AGG ASSAULT,102982140,10/26/2010,2479 PEACHTREE RD NE,207,,E,33.81,-84.39583
657,AGG ASSAULT,102982079,10/26/2010,1192 PRYOR,304,Peoplestown,V,33.72287,-84.3928
658,LARCENY-NON VEHICLE,102982082,10/25/2010,2900 CAMPBELLTON RD SW,409,Southwest,R,33.69761,-84.48336
659,ROBBERY-PEDESTRIAN,102982093,10/25/2010,1034 LAWTON AVE SW,402,Oakland City,S,33.72574,-84.42182
660,LARCENY-FROM VEHICLE,102982110,10/25/2010,2521 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7759,-84.46841
661,AGG ASSAULT,102982117,10/25/2010,62 HARWELL RD NW,111,,I,33.7538,-84.493
662,LARCENY-NON VEHICLE,102982127,10/25/2010,3393 PEACHTREE RD NE STE 1003,210,Lenox,B,33.84892,-84.36426
663,BURGLARY-RESIDENCE,102981611,10/25/2010,545 ENGLISH AVE NW,103,English Avenue,L,33.76958,-84.41324
664,LARCENY-NON VEHICLE,102981641,10/25/2010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
665,LARCENY-NON VEHICLE,102981643,10/25/2010,529 IRWIN ST NE,604,Old Fourth Ward,M,33.75754,-84.37018
666,BURGLARY-RESIDENCE,102981692,10/25/2010,1991 DELOWE DR SW,410,Campbellton Road,R,33.70103,-84.45746
667,LARCENY-FROM VEHICLE,102981718,10/25/2010,CRESCENT AVE NE / 12TH ST NE,503,Midtown,E,33.78455,-84.38434
668,BURGLARY-RESIDENCE,102982156,10/25/2010,1367 ANIWAKA AVE SW,408,Venetian Hills,S,33.71812,-84.44134
669,LARCENY-NON VEHICLE,102981790,10/25/2010,195 FAIRBURN NW,111,Adamsville,H,33.76084,-84.50343
670,LARCENY-NON VEHICLE,102981795,10/25/2010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
671,LARCENY-NON VEHICLE,102981797,10/25/2010,120 HARWELL RD NW,111,,I,33.75457,-84.49304
672,LARCENY-FROM VEHICLE,102981819,10/25/2010,MONROE DR NE / KANUGA ST NE,601,Virginia Highland,F,33.78231,-84.36851
673,LARCENY-NON VEHICLE,102981827,10/25/2010,1955 COMPTON DR SE ,307,Lakewood Heights,Y,33.7009,-84.38279
674,LARCENY-FROM VEHICLE,102981850,10/25/2010,3850 ROSWELL RD,209,East Chastain Park,B,33.85988,-84.38156
675,LARCENY-NON VEHICLE,102981900,10/25/2010,1371 MARKET ST NW,501,Atlantic Station,E,33.7921,-84.39466
676,LARCENY-FROM VEHICLE,102981904,10/25/2010,3368 PEACHTREE RD NE,208,North Buckhead,B,33.84713,-84.36802
677,AUTO THEFT,102981915,10/25/2010,1705 ABNER CT NW,110,Carver Hills,G,33.80223,-84.46617
678,BURGLARY-RESIDENCE,102981920,10/25/2010,3062 W PEEK RD NW,112,Collier Heights,I,33.77293,-84.4867
679,AGG ASSAULT,102981931,10/25/2010,2 PARK PL SE,510,Downtown,M,33.75445,-84.38954
680,LARCENY-FROM VEHICLE,102981933,10/25/2010,2391 PEACHTREE RD NE,211,Peachtree Hills,B,33.8206,-84.3881
681,LARCENY-FROM VEHICLE,102981941,10/25/2010,PEACHTREE ST NE / 6TH ST NE,505,Midtown,E,33.77736,-84.38442
682,LARCENY-FROM VEHICLE,102981946,10/25/2010,701 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76124,-84.36391
683,LARCENY-FROM VEHICLE,102981954,10/25/2010,386 CAIRO ST,106,Bankhead,K,33.76526,-84.41984
684,AGG ASSAULT,102981961,10/25/2010,438 VINE ST NW,103,English Avenue,L,33.76666,-84.40784
685,LARCENY-FROM VEHICLE,102981962,10/25/2010,3365 PIEDMONT RD NE,208,North Buckhead,B,33.84568,-84.37229
686,LARCENY-FROM VEHICLE,102981969,10/25/2010,2140 PEACHTREE RD NW,207,,C,33.81301,-84.3938
687,BURGLARY-NONRES,102981981,10/25/2010,1562 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.7437,-84.43859
688,LARCENY-FROM VEHICLE,102982000,10/25/2010,215 NORTH AVE NE @SAVANNAH MIDTOWN,603,Old Fourth Ward,M,33.7706,-84.38034
689,AGG ASSAULT,102982021,10/25/2010,2555 ETHERIDGE DR NW,113,Carey Park,G,33.78815,-84.47173
690,ROBBERY-RESIDENCE,102982040,10/25/2010,2065 DEFOORS FERRY RD NW,204,,C,33.81262,-84.42536
691,BURGLARY-RESIDENCE,102982078,10/25/2010,920 SELLS AVE,104,Harris Chiles,T,33.74532,-84.41819
692,LARCENY-NON VEHICLE,102971113,10/25/2010,1008 BRADY AVE,501,Home Park,E,33.78251,-84.41436
693,BURGLARY-RESIDENCE,102962205,10/25/2010,145 JAMES P BRAWLEY BLVD,102,Vine City,L,33.75867,-84.41236
694,LARCENY-FROM VEHICLE,102972000,10/25/2010,434 COLOGNE DR SE,313,Blair Villa/Poole Creek,Z,33.66133,-84.37781
695,AUTO THEFT,102980003,10/25/2010,1264 BARNES ST NW,501,Home Park,E,33.78932,-84.39477
696,AUTO THEFT,102980037,10/25/2010,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77682,-84.40822
697,LARCENY-FROM VEHICLE,102980046,10/25/2010,1335 MARIETTA BLVD NW,203,Blandtown,D,33.79209,-84.43017
698,LARCENY-FROM VEHICLE,102980123,10/25/2010,SPRING ST NW / 3RD ST NW,505,Midtown,E,33.77393,-84.38883
699,AUTO THEFT,102980176,10/25/2010,820 W MARIETTA ST NW,103,English Avenue,L,33.78089,-84.41622
700,LARCENY-NON VEHICLE,102980235,10/25/2010,195 OTTLEY DR NE,212,,E,33.80807,-84.38112
701,AGG ASSAULT,102980268,10/25/2010,226 TAFT ST SW,307,Joyland,Y,33.71031,-84.39637
702,AUTO THEFT,102980383,10/25/2010,3350 MOUNT GILEAD RD SW,409,Southwest,R,33.6982,-84.49859
703,LARCENY-FROM VEHICLE,102980397,10/25/2010,194 LINKWOOD RD NW,112,Collier Heights,I,33.76044,-84.4828
704,AUTO THEFT,102980404,10/25/2010,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
705,AUTO THEFT,102980500,10/25/2010,898 BEECHER ST SW,401,West End,T,33.7332,-84.41722
706,BURGLARY-RESIDENCE,102980509,10/25/2010,1785 RIDGEWAY AVE,204,Underwood Hills,D,33.80369,-84.41622
707,LARCENY-FROM VEHICLE,102980557,10/25/2010,2129 CAMPBELLTON RD SW,409,Adams Park,R,33.70645,-84.45846
708,BURGLARY-RESIDENCE,102980583,10/25/2010,897 BECKWITH ST,101,Atlanta University Center,T,33.75235,-84.417
709,LARCENY-FROM VEHICLE,102980590,10/25/2010,307 LYDIA DR,310,Browns Mill Park,Z,33.68626,-84.37937
710,AUTO THEFT,102980599,10/25/2010,2891 SPRINGDALE RD SW,311,Hammond Park,X,33.67628,-84.41592
711,BURGLARY-RESIDENCE,102980682,10/25/2010,187 WHITEFOORD AVE SE,609,Edgewood,O,33.74823,-84.3425
712,LARCENY-NON VEHICLE,102980699,10/25/2010,701 MCDONALD ST SE,606,Grant Park,W,33.7459,-84.36449
713,AUTO THEFT,102980718,10/25/2010,1908 PEACHTREE PARK DR NE,207,,E,33.81357,-84.38952
714,LARCENY-NON VEHICLE,102980729,10/25/2010,939 JEFFERSON ST NW ,106,Knight Park/Howell Station,K,33.77568,-84.4187
715,LARCENY-NON VEHICLE,102980739,10/25/2010,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201
716,AUTO THEFT,102980753,10/25/2010,49 BOULEVARD SE,604,Sweet Auburn,M,33.75275,-84.37186
717,BURGLARY-RESIDENCE,102980760,10/25/2010,2296 CARVER DR NW,108,Dixie Hills,J,33.7597,-84.46274
718,AUTO THEFT,102980771,10/25/2010,1660 PEACHTREE ST. NW.,502,Midtown,E,33.79874,-84.39164
719,AUTO THEFT,102980780,10/25/2010,454 MARIETTA ST NW,507,Downtown,M,33.76575,-84.39781
720,AUTO THEFT,102980788,10/25/2010,I-20 WB EXPY NW & MARTIN L KING JR DR NW,104,Penelope Neighbors,J,33.75095,-84.44468
721,LARCENY-NON VEHICLE,102980812,10/25/2010,659 PEACHTREE ST NE,505,Midtown,E,33.77244,-84.38478
722,BURGLARY-RESIDENCE,102980813,10/25/2010,172 HOWARD ST NE,610,Kirkwood,O,33.75721,-84.32358
723,AUTO THEFT,102980831,10/25/2010,371 IRWIN ST NE;,604,Sweet Auburn,M,33.75747,-84.37539
724,LARCENY-FROM VEHICLE,102980868,10/25/2010,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75942,-84.37151
725,LARCENY-NON VEHICLE,102980873,10/25/2010,3648 PEACHTREE RD NE,209,Brookhaven,B,33.85459,-84.35698
726,LARCENY-NON VEHICLE,102980895,10/25/2010,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81274,-84.36659
727,LARCENY-NON VEHICLE,102980909,10/25/2010,120 HAMDEN FOREST TRL SW,412,Midwest Cascade,Q,33.72287,-84.53964
728,LARCENY-FROM VEHICLE,102980941,10/25/2010,150 CARNEGIE WAY NW,508,Downtown,M,33.75832,-84.38905
729,BURGLARY-RESIDENCE,102980978,10/25/2010,1360 WESTMONT RD SW,403,Venetian Hills,S,33.71818,-84.43741
730,BURGLARY-RESIDENCE,102980998,10/25/2010,85 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67291,-84.39153
731,BURGLARY-RESIDENCE,102981013,10/25/2010,1240 OAKLAND DR SW,403,Oakland City,S,33.72138,-84.42733
732,LARCENY-NON VEHICLE,102981026,10/25/2010,3780 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65765,-84.5095
733,AUTO THEFT,102981053,10/25/2010,1560 METROPOLITAN PKWY SW @ATLANTA AREA TECH S,306,Sylvan Hills,X,33.71194,-84.40422
734,AGG ASSAULT,102981066,10/25/2010,2877 DONALD LEE HOLLOWELL PKWY. NW,113,Brookview Heights,G,33.78028,-84.48032
735,BURGLARY-RESIDENCE,102981085,10/25/2010,3510 THOMPSON DR NW,111,Adamsville,H,33.76183,-84.50273
736,BURGLARY-RESIDENCE,102981087,10/25/2010,3670 ADKINS RD NW,114,Carroll Heights,H,33.77248,-84.50922
737,LARCENY-FROM VEHICLE,102981090,10/25/2010,LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
738,LARCENY-FROM VEHICLE,102981099,10/25/2010,964 CHARLES ALLEN DR. NE.,503,Midtown,E,33.78089,-84.373
739,AUTO THEFT,102981117,10/25/2010,520 FULTON ST SW,303,Mechanicsville,V,33.74092,-84.40419
740,LARCENY-NON VEHICLE,102981120,10/25/2010,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595
741,AGG ASSAULT,102981121,10/25/2010,2116 BARGE RD SW,412,Briar Glen,P,33.69798,-84.50591
742,LARCENY-NON VEHICLE,102981145,10/25/2010,366 WELLINGTON ST SW,404,Westview,T,33.74526,-84.43852
743,LARCENY-NON VEHICLE,102981170,10/25/2010,2124 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81307,-84.35424
744,BURGLARY-RESIDENCE,102981178,10/25/2010,1107 4TH ST NW,109,Carey Park,G,33.78523,-84.47029
745,BURGLARY-RESIDENCE,102981187,10/25/2010,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968
746,LARCENY-FROM VEHICLE,102981193,10/25/2010,513 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75411,-84.37077
747,LARCENY-NON VEHICLE,102981194,10/25/2010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
748,LARCENY-FROM VEHICLE,102981205,10/25/2010,2124 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81307,-84.35424
749,BURGLARY-RESIDENCE,102981208,10/25/2010,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149
750,BURGLARY-RESIDENCE,102981216,10/25/2010,892 SPENCER,102,Vine City,L,33.75961,-84.41673
751,LARCENY-FROM VEHICLE,102981260,10/25/2010,PEACHTREE CENTER AVE NE / ELLIS ST NE,510,Downtown,M,33.75841,-84.38608
752,LARCENY-FROM VEHICLE,102981273,10/25/2010,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554
753,LARCENY-FROM VEHICLE,102981283,10/25/2010,75 MARTIN L KING JR DR SW,511,Downtown,M,33.75119,-84.38996
754,LARCENY-NON VEHICLE,102981299,10/25/2010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
755,AGG ASSAULT,102981304,10/25/2010,1614 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79919,-84.47004
756,BURGLARY-RESIDENCE,102981343,10/25/2010,177 12TH ST,503,Midtown,E,33.78421,-84.38158
757,BURGLARY-NONRES,102981357,10/25/2010,1708 PEACHTREE ST NW,207,Brookwood,E,33.8004,-84.39323
758,AUTO THEFT,102981416,10/25/2010,844 FULTON TER SE,606,Reynoldstown,N,33.74906,-84.35972
759,BURGLARY-RESIDENCE,102981429,10/25/2010,177 12TH ST,503,Midtown,E,33.78403,-84.38167
760,LARCENY-FROM VEHICLE,102981439,10/25/2010,3004 PIEDMONT RD NE,206,Garden Hills,B,33.83665,-84.36838
761,AGG ASSAULT,102981441,10/25/2010,3116 BENJAMIN E MAYS DR SW,406,Green Forest Acres,I,33.73303,-84.48973
762,LARCENY-FROM VEHICLE,102981444,10/25/2010,1990 WELLBOURNE DR NE,213,Morningside/Lenox Park,F,33.80884,-84.36023
763,ROBBERY-PEDESTRIAN,102981568,10/25/2010,3804 MARTIN L KING JR DR NW ,114,Old Gordon,H,33.76759,-84.51254
764,LARCENY-NON VEHICLE,102981571,10/25/2010,80 JESSE HILL JR DR SE @GRADY;,510,Downtown,M,33.75168,-84.38198
765,BURGLARY-RESIDENCE,102981596,10/25/2010,184 MURRAY HILL AVE NE,610,Kirkwood,O,33.75772,-84.31619
766,LARCENY-FROM VEHICLE,102981597,10/25/2010,15 PEACHTREE ST SW,511,Downtown,M,33.75369,-84.39043
767,LARCENY-NON VEHICLE,102981600,10/25/2010,2573 COLLIER RD ,112,Collier Heights,I,33.76389,-84.47186
768,LARCENY-FROM VEHICLE,102972025,10/24/2010,W PEACHTREE ST NW / 4TH ST NW,505,Midtown,E,33.77509,-84.38732
769,BURGLARY-RESIDENCE,102972052,10/24/2010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.70177,-84.48448
770,LARCENY-FROM VEHICLE,102972058,10/24/2010,931 MONROE DR NE,506,Midtown,E,33.77973,-84.3676
771,BURGLARY-RESIDENCE,102972065,10/24/2010,147 26TH ST NW,207,Brookwood,E,33.80251,-84.39773
772,LARCENY-FROM VEHICLE,102978010,10/24/2010,N DECK @6023 N TERMINAL BYWY ;EXIT,50,,,33.64217,-84.447
773,LARCENY-FROM VEHICLE,102978019,10/24/2010,6011 N. TERMINAL PKWY,50,,,33.64216,-84.44756
774,ROBBERY-PEDESTRIAN,102962360,10/24/2010,1575 MARTIN LUTHER KING DRIVE,104,Mozley Park,K,33.7528,-84.43922
775,BURGLARY-RESIDENCE,102970002,10/24/2010,3106 ABBEY DR SW,414,Princeton Lakes,P,33.667,-84.50861
776,AUTO THEFT,102970039,10/24/2010,1030 SELLS AVE,104,Harris Chiles,T,33.74529,-84.4233
777,LARCENY-FROM VEHICLE,102970044,10/24/2010,765 NORTH AVE NE,602,Poncey-Highland,N,33.77113,-84.36229
778,BURGLARY-RESIDENCE,102970068,10/24/2010,2254 ABNER PL NW,110,Carver Hills,G,33.80201,-84.46134
779,LARCENY-NON VEHICLE,102970101,10/24/2010,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724
780,AUTO THEFT,102970123,10/24/2010,CUNNINGHAM PL SW / PEEPLES ST SW,104,Harris Chiles,T,33.74324,-84.4205
781,ROBBERY-PEDESTRIAN,102970178,10/24/2010,162 FLAT SHOALS AVE SE,606,Reynoldstown,N,33.74947,-84.35429
782,LARCENY-NON VEHICLE,102970180,10/24/2010,705 PIEDMONT AVE NE,505,Midtown,E,33.77385,-84.38154
783,BURGLARY-RESIDENCE,102970198,10/24/2010,1043 CONLEY RD SE,313,South River Gardens,Z,33.64877,-84.35604
784,LARCENY-NON VEHICLE,102970263,10/24/2010,3112 PIEDMONT RD NE,206,Buckhead Village,B,33.84088,-84.37057
785,LARCENY-FROM VEHICLE,102971123,10/24/2010,105 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.75164,-84.4179
786,BURGLARY-RESIDENCE,102971155,10/24/2010,367 ILLINOIS,303,Mechanicsville,V,33.73736,-84.40024
787,AGG ASSAULT,102971204,10/24/2010,445 MARKHAM ST SW,507,Castleberry Hill,M,33.75274,-84.40069
788,LARCENY-FROM VEHICLE,102971223,10/24/2010,1170 CRESCENT AVE NE,503,Midtown,E,33.78633,-84.38471
789,LARCENY-FROM VEHICLE,102971229,10/24/2010,PEACHTREE ST SW / MITCHELL ST SW,512,Downtown,M,33.75094,-84.39303
790,LARCENY-NON VEHICLE,102971242,10/24/2010,3050 PEACHTREE RD,206,Peachtree Heights West,B,33.83865,-84.38106
791,AGG ASSAULT,102971246,10/24/2010,669 ELBRIDGE DR NW,106,,J,33.77309,-84.43208
792,LARCENY-FROM VEHICLE,102971265,10/24/2010,15 JAMES P BRAWLEY DR SW,101,Atlanta University Center,T,33.75421,-84.41288
793,BURGLARY-RESIDENCE,102971275,10/24/2010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
794,AUTO THEFT,102971285,10/24/2010,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77689,-84.40807
795,BURGLARY-RESIDENCE,102971313,10/24/2010,1010 ANGELO CT NE,209,Brookhaven,B,33.88121,-84.35427
796,BURGLARY-RESIDENCE,102971341,10/24/2010,789 CHESTNUT PL,102,Vine City,L,33.76133,-84.41328
797,AUTO THEFT,102971346,10/24/2010,931 MONROE DR NE,506,Midtown,E,33.77973,-84.3676
798,LARCENY-NON VEHICLE,102971351,10/24/2010,801 GRANT TER SE,304,Summerhill,V,33.73265,-84.38012
799,LARCENY-NON VEHICLE,102971359,10/24/2010,2516 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75242,-84.47042
800,LARCENY-FROM VEHICLE,102971381,10/24/2010,222 PETERS ST SW,507,Castleberry Hill,M,33.74824,-84.40041